year,month,day,hour,minute,second,pulse,spo2
2024,8,13,15,2,8,500,500
2024,8,13,15,2,12,500,500
2024,8,13,15,2,16,500,500
2024,8,13,15,2,20,500,500
2024,8,13,15,2,24,500,500
2024,8,13,15,2,28,500,500
2024,8,13,15,2,32,500,500
2024,8,13,15,2,36,500,500
2024,8,13,15,2,40,500,500
2024,8,13,15,2,44,500,500
2024,8,13,15,2,48,500,500
2024,8,13,15,2,52,500,500
2024,8,13,15,2,56,500,87
2024,8,13,15,3,0,500,500
2024,8,13,15,3,4,500,81
2024,8,13,15,3,8,500,500
2024,8,13,15,3,12,119,95
2024,8,13,15,3,16,119,95
2024,8,13,15,3,20,121,95
2024,8,13,15,3,24,117,95
2024,8,13,15,3,28,116,94
2024,8,13,15,3,32,120,93
2024,8,13,15,3,36,121,92
2024,8,13,15,3,40,116,91
2024,8,13,15,3,44,119,91
2024,8,13,15,3,48,119,93
2024,8,13,15,3,52,120,93
2024,8,13,15,3,56,111,93
2024,8,13,15,4,0,110,93
2024,8,13,15,4,4,118,94
2024,8,13,15,4,8,120,93
2024,8,13,15,4,12,122,90
2024,8,13,15,4,16,122,93
2024,8,13,15,4,20,121,95
2024,8,13,15,4,24,118,95
2024,8,13,15,4,28,115,95
2024,8,13,15,4,32,113,94
2024,8,13,15,4,36,118,92
2024,8,13,15,4,40,120,89
2024,8,13,15,4,44,123,87
2024,8,13,15,4,48,123,86
2024,8,13,15,4,52,122,90
2024,8,13,15,4,56,119,94
2024,8,13,15,5,0,116,96
2024,8,13,15,5,4,115,95
2024,8,13,15,5,8,120,94
2024,8,13,15,5,12,122,93
2024,8,13,15,5,16,122,92
2024,8,13,15,5,20,118,92
2024,8,13,15,5,24,114,95
2024,8,13,15,5,28,112,94
2024,8,13,15,5,32,114,92
2024,8,13,15,5,36,114,89
2024,8,13,15,5,40,115,86
2024,8,13,15,5,44,119,84
2024,8,13,15,5,48,118,83
2024,8,13,15,5,52,118,83
2024,8,13,15,5,56,120,82
2024,8,13,15,6,0,121,79
2024,8,13,15,6,4,121,77
2024,8,13,15,6,8,122,76
2024,8,13,15,6,12,125,75
2024,8,13,15,6,16,122,75
2024,8,13,15,6,20,120,83
2024,8,13,15,6,24,120,82
2024,8,13,15,6,28,121,80
2024,8,13,15,6,32,120,80
2024,8,13,15,6,36,123,80
2024,8,13,15,6,40,124,79
2024,8,13,15,6,44,123,78
2024,8,13,15,6,48,123,80
2024,8,13,15,6,52,122,81
2024,8,13,15,6,56,122,81
2024,8,13,15,7,0,122,83
2024,8,13,15,7,4,123,82
2024,8,13,15,7,8,122,81
2024,8,13,15,7,12,122,81
2024,8,13,15,7,16,122,80
2024,8,13,15,7,20,122,76
2024,8,13,15,7,24,122,74
2024,8,13,15,7,28,123,73
2024,8,13,15,7,32,123,79
2024,8,13,15,7,36,123,80
2024,8,13,15,7,40,125,79
2024,8,13,15,7,44,125,79
2024,8,13,15,7,48,125,80
2024,8,13,15,7,52,125,78
2024,8,13,15,7,56,126,77
2024,8,13,15,8,0,126,76
2024,8,13,15,8,4,128,76
2024,8,13,15,8,8,129,74
2024,8,13,15,8,12,128,74
2024,8,13,15,8,16,130,75
2024,8,13,15,8,20,130,77
2024,8,13,15,8,24,127,77
2024,8,13,15,8,28,123,86
2024,8,13,15,8,32,129,89
2024,8,13,15,8,36,133,89
2024,8,13,15,8,40,129,89
2024,8,13,15,8,44,119,95
2024,8,13,15,8,48,119,93
2024,8,13,15,8,52,119,87
2024,8,13,15,8,56,119,83
2024,8,13,15,9,0,124,80
2024,8,13,15,9,4,127,78
2024,8,13,15,9,8,128,81
2024,8,13,15,9,12,124,87
2024,8,13,15,9,16,120,92
2024,8,13,15,9,20,120,91
2024,8,13,15,9,24,121,87
2024,8,13,15,9,28,121,85
