year,month,day,hour,minute,second,pulse,spo2
2024,8,2,15,27,5,500,500
2024,8,2,15,27,9,500,500
2024,8,2,15,27,13,500,500
2024,8,2,15,27,17,500,500
2024,8,2,15,27,21,500,500
2024,8,2,15,27,25,500,500
2024,8,2,15,27,29,500,88
2024,8,2,15,27,33,41,88
2024,8,2,15,27,37,41,94
2024,8,2,15,27,41,41,89
2024,8,2,15,27,45,116,95
2024,8,2,15,27,49,500,500
2024,8,2,15,27,53,500,500
2024,8,2,15,27,57,500,500
2024,8,2,15,28,1,500,500
2024,8,2,15,28,5,500,500
2024,8,2,15,28,9,500,500
2024,8,2,15,28,13,500,500
2024,8,2,15,28,17,500,500
2024,8,2,15,28,21,500,500
2024,8,2,15,28,25,82,98
2024,8,2,15,28,29,81,98
2024,8,2,15,28,33,80,98
2024,8,2,15,28,37,82,98
2024,8,2,15,28,41,83,98
2024,8,2,15,28,45,82,98
2024,8,2,15,28,49,83,98
2024,8,2,15,28,53,87,98
2024,8,2,15,28,57,87,98
2024,8,2,15,29,1,94,99
2024,8,2,15,29,5,93,98
2024,8,2,15,29,9,88,98
2024,8,2,15,29,13,84,98
2024,8,2,15,29,17,81,98
2024,8,2,15,29,21,79,98
2024,8,2,15,29,25,79,99
2024,8,2,15,29,29,80,99
2024,8,2,15,29,33,81,99
2024,8,2,15,29,37,81,99
2024,8,2,15,29,41,82,99
2024,8,2,15,29,45,83,99
2024,8,2,15,29,49,83,99
2024,8,2,15,29,53,81,99
2024,8,2,15,29,57,81,99
2024,8,2,15,30,1,81,99
2024,8,2,15,30,5,83,99
2024,8,2,15,30,9,84,99
2024,8,2,15,30,13,82,98
2024,8,2,15,30,17,80,99
2024,8,2,15,30,21,81,99
2024,8,2,15,30,25,80,99
2024,8,2,15,30,29,81,99
2024,8,2,15,30,33,80,99
2024,8,2,15,30,37,81,99
2024,8,2,15,30,41,82,99
2024,8,2,15,30,45,78,99
2024,8,2,15,30,49,78,98
2024,8,2,15,30,53,83,98
2024,8,2,15,30,57,85,98
2024,8,2,15,31,1,87,98
2024,8,2,15,31,5,90,98
2024,8,2,15,31,9,88,98
2024,8,2,15,31,13,86,98
2024,8,2,15,31,17,86,98
2024,8,2,15,31,21,87,98
2024,8,2,15,31,25,87,98
2024,8,2,15,31,29,87,98
2024,8,2,15,31,33,87,98
2024,8,2,15,31,37,500,500
2024,8,2,15,31,41,82,98
2024,8,2,15,31,45,77,98
2024,8,2,15,31,49,75,99
2024,8,2,15,31,53,77,99
2024,8,2,15,31,57,77,99
2024,8,2,15,32,1,77,99
2024,8,2,15,32,5,78,99
2024,8,2,15,32,9,79,99
2024,8,2,15,32,13,77,99
2024,8,2,15,32,17,80,99
2024,8,2,15,32,21,83,99
2024,8,2,15,32,25,82,99
2024,8,2,15,32,29,86,98
2024,8,2,15,32,33,87,98
2024,8,2,15,32,37,88,98
2024,8,2,15,32,41,85,98
2024,8,2,15,32,45,82,98
2024,8,2,15,32,49,78,98
2024,8,2,15,32,53,76,98
2024,8,2,15,32,57,77,98
2024,8,2,15,33,1,77,98
2024,8,2,15,33,5,78,98
2024,8,2,15,33,9,81,98
2024,8,2,15,33,13,83,98
2024,8,2,15,33,17,88,98
2024,8,2,15,33,21,85,98
2024,8,2,15,33,25,83,98
2024,8,2,15,33,29,80,98
2024,8,2,15,33,33,78,98
2024,8,2,15,33,37,78,98
2024,8,2,15,33,41,77,98
2024,8,2,15,33,45,78,98
2024,8,2,15,33,49,77,98
2024,8,2,15,33,53,79,98
2024,8,2,15,33,57,77,99
2024,8,2,15,34,1,78,99
2024,8,2,15,34,5,78,99
2024,8,2,15,34,9,77,99
2024,8,2,15,34,13,78,99
2024,8,2,15,34,17,77,99
2024,8,2,15,34,21,78,99
2024,8,2,15,34,25,80,99
2024,8,2,15,34,29,83,98
2024,8,2,15,34,33,85,98
2024,8,2,15,34,37,87,98
2024,8,2,15,34,41,84,98
2024,8,2,15,34,45,80,98
2024,8,2,15,34,49,78,98
2024,8,2,15,34,53,78,98
2024,8,2,15,34,57,80,98
2024,8,2,15,35,1,81,98
2024,8,2,15,35,5,81,98
2024,8,2,15,35,9,83,98
2024,8,2,15,35,13,83,98
2024,8,2,15,35,17,84,98
2024,8,2,15,35,21,78,98
2024,8,2,15,35,25,77,98
2024,8,2,15,35,29,76,98
2024,8,2,15,35,33,76,99
2024,8,2,15,35,37,78,99
2024,8,2,15,35,41,76,99
2024,8,2,15,35,45,78,99
2024,8,2,15,35,49,82,99
2024,8,2,15,35,53,83,98
2024,8,2,15,35,57,83,98
2024,8,2,15,36,1,89,98
2024,8,2,15,36,5,87,98
2024,8,2,15,36,9,82,98
2024,8,2,15,36,13,79,98
2024,8,2,15,36,17,79,99
2024,8,2,15,36,21,82,99
2024,8,2,15,36,25,84,98
2024,8,2,15,36,29,79,98
2024,8,2,15,36,33,75,99
2024,8,2,15,36,37,76,99
2024,8,2,15,36,41,73,99
2024,8,2,15,36,45,74,99
2024,8,2,15,36,49,75,99
2024,8,2,15,36,53,76,99
2024,8,2,15,36,57,76,99
2024,8,2,15,37,1,77,99
2024,8,2,15,37,5,77,98
2024,8,2,15,37,9,84,98
2024,8,2,15,37,13,85,99
2024,8,2,15,37,17,81,99
2024,8,2,15,37,21,79,99
2024,8,2,15,37,25,81,99
2024,8,2,15,37,29,81,99
2024,8,2,15,37,33,83,98
2024,8,2,15,37,37,84,98
2024,8,2,15,37,41,84,98
2024,8,2,15,37,45,83,98
2024,8,2,15,37,49,82,98
2024,8,2,15,37,53,84,98
2024,8,2,15,37,57,82,98
2024,8,2,15,38,1,83,98
2024,8,2,15,38,5,82,99
2024,8,2,15,38,9,82,99
2024,8,2,15,38,13,81,99
2024,8,2,15,38,17,80,99
2024,8,2,15,38,21,78,99
2024,8,2,15,38,25,78,99
2024,8,2,15,38,29,77,99
2024,8,2,15,38,33,78,99
2024,8,2,15,38,37,81,99
2024,8,2,15,38,41,83,99
2024,8,2,15,38,45,81,99
2024,8,2,15,38,49,79,99
2024,8,2,15,38,53,80,99
2024,8,2,15,38,57,82,99
2024,8,2,15,39,1,85,99
2024,8,2,15,39,5,87,99
2024,8,2,15,39,9,83,99
2024,8,2,15,39,13,79,98
2024,8,2,15,39,17,77,98
2024,8,2,15,39,21,79,98
2024,8,2,15,39,25,75,98
2024,8,2,15,39,29,75,98
2024,8,2,15,39,33,79,98
2024,8,2,15,39,37,81,98
2024,8,2,15,39,41,82,99
2024,8,2,15,39,45,78,99
2024,8,2,15,39,49,76,98
2024,8,2,15,39,53,76,99
2024,8,2,15,39,57,76,99
2024,8,2,15,40,1,81,99
2024,8,2,15,40,5,83,99
2024,8,2,15,40,9,80,99
2024,8,2,15,40,13,78,98
2024,8,2,15,40,17,77,98
2024,8,2,15,40,21,76,98
2024,8,2,15,40,25,75,99
2024,8,2,15,40,29,74,99
2024,8,2,15,40,33,75,99
2024,8,2,15,40,37,79,99
2024,8,2,15,40,41,78,99
2024,8,2,15,40,45,78,99
2024,8,2,15,40,49,78,99
2024,8,2,15,40,53,81,99
2024,8,2,15,40,57,82,98
2024,8,2,15,41,1,79,98
2024,8,2,15,41,5,77,98
2024,8,2,15,41,9,78,98
2024,8,2,15,41,13,79,99
2024,8,2,15,41,17,79,98
2024,8,2,15,41,21,80,98
2024,8,2,15,41,25,85,98
2024,8,2,15,41,29,85,98
2024,8,2,15,41,33,84,98
2024,8,2,15,41,37,83,98
2024,8,2,15,41,41,83,98
2024,8,2,15,41,45,84,99
2024,8,2,15,41,49,82,99
2024,8,2,15,41,53,79,98
2024,8,2,15,41,57,78,98
2024,8,2,15,42,1,77,98
2024,8,2,15,42,5,76,99
2024,8,2,15,42,9,76,99
2024,8,2,15,42,13,78,98
2024,8,2,15,42,17,79,99
2024,8,2,15,42,21,76,99
2024,8,2,15,42,25,75,99
2024,8,2,15,42,29,77,99
2024,8,2,15,42,33,76,99
2024,8,2,15,42,37,77,99
2024,8,2,15,42,41,82,99
2024,8,2,15,42,45,82,99
2024,8,2,15,42,49,82,99
2024,8,2,15,42,53,82,99
2024,8,2,15,42,57,81,99
2024,8,2,15,43,1,81,99
2024,8,2,15,43,5,83,99
2024,8,2,15,43,9,81,99
2024,8,2,15,43,13,83,98
2024,8,2,15,43,17,83,98
2024,8,2,15,43,21,84,99
2024,8,2,15,43,25,85,99
2024,8,2,15,43,29,86,99
2024,8,2,15,43,33,85,99
2024,8,2,15,43,37,83,99
2024,8,2,15,43,41,80,98
2024,8,2,15,43,45,79,98
2024,8,2,15,43,49,77,98
2024,8,2,15,43,53,76,98
2024,8,2,15,43,57,79,99
2024,8,2,15,44,1,78,99
2024,8,2,15,44,5,84,99
2024,8,2,15,44,9,87,99
2024,8,2,15,44,13,86,99
2024,8,2,15,44,17,81,99
2024,8,2,15,44,21,79,99
2024,8,2,15,44,25,77,99
2024,8,2,15,44,29,75,99
2024,8,2,15,44,33,74,98
2024,8,2,15,44,37,73,98
2024,8,2,15,44,41,73,99
2024,8,2,15,44,45,72,99
2024,8,2,15,44,49,73,99
2024,8,2,15,44,53,73,99
2024,8,2,15,44,57,73,99
2024,8,2,15,45,1,78,99
2024,8,2,15,45,5,79,99
2024,8,2,15,45,9,80,99
2024,8,2,15,45,13,80,99
2024,8,2,15,45,17,78,99
2024,8,2,15,45,21,77,98
2024,8,2,15,45,25,76,99
2024,8,2,15,45,29,77,99
2024,8,2,15,45,33,78,98
2024,8,2,15,45,37,79,98
2024,8,2,15,45,41,79,98
2024,8,2,15,45,45,80,98
2024,8,2,15,45,49,84,98
2024,8,2,15,45,53,87,98
2024,8,2,15,45,57,87,98
2024,8,2,15,46,1,88,98
2024,8,2,15,46,5,86,98
2024,8,2,15,46,9,85,98
2024,8,2,15,46,13,88,98
2024,8,2,15,46,17,86,99
2024,8,2,15,46,21,82,99
2024,8,2,15,46,25,82,99
2024,8,2,15,46,29,82,99
2024,8,2,15,46,33,82,99
2024,8,2,15,46,37,500,500
2024,8,2,15,46,41,83,99
2024,8,2,15,46,45,83,98
2024,8,2,15,46,49,83,98
2024,8,2,15,46,53,84,98
2024,8,2,15,46,57,86,98
2024,8,2,15,47,1,85,99
2024,8,2,15,47,5,84,99
2024,8,2,15,47,9,83,99
2024,8,2,15,47,13,82,99
2024,8,2,15,47,17,83,98
2024,8,2,15,47,21,81,99
2024,8,2,15,47,25,85,99
2024,8,2,15,47,29,86,99
2024,8,2,15,47,33,84,99
2024,8,2,15,47,37,83,99
2024,8,2,15,47,41,88,99
2024,8,2,15,47,45,90,99
2024,8,2,15,47,49,90,98
2024,8,2,15,47,53,91,98
2024,8,2,15,47,57,91,98
2024,8,2,15,48,1,85,98
2024,8,2,15,48,5,79,98
2024,8,2,15,48,9,76,98
2024,8,2,15,48,13,76,98
2024,8,2,15,48,17,75,99
2024,8,2,15,48,21,76,99
2024,8,2,15,48,25,81,99
2024,8,2,15,48,29,84,99
2024,8,2,15,48,33,79,99
2024,8,2,15,48,37,78,99
2024,8,2,15,48,41,77,99
2024,8,2,15,48,45,78,99
2024,8,2,15,48,49,84,99
2024,8,2,15,48,53,89,99
2024,8,2,15,48,57,89,99
2024,8,2,15,49,1,90,99
2024,8,2,15,49,5,86,98
2024,8,2,15,49,9,83,99
2024,8,2,15,49,13,81,99
2024,8,2,15,49,17,81,99
2024,8,2,15,49,21,84,99
2024,8,2,15,49,25,83,99
2024,8,2,15,49,29,79,99
2024,8,2,15,49,33,76,99
2024,8,2,15,49,37,77,99
2024,8,2,15,49,41,79,99
2024,8,2,15,49,45,79,99
2024,8,2,15,49,49,79,98
2024,8,2,15,49,53,82,98
2024,8,2,15,49,57,84,98
2024,8,2,15,50,1,84,98
2024,8,2,15,50,5,85,99
2024,8,2,15,50,9,85,99
2024,8,2,15,50,13,88,99
2024,8,2,15,50,17,86,99
2024,8,2,15,50,21,89,98
2024,8,2,15,50,25,90,98
2024,8,2,15,50,29,88,99
2024,8,2,15,50,33,93,98
2024,8,2,15,50,37,88,98
2024,8,2,15,50,41,79,98
2024,8,2,15,50,45,76,99
2024,8,2,15,50,49,77,99
2024,8,2,15,50,53,76,99
2024,8,2,15,50,57,77,99
2024,8,2,15,51,1,76,99
2024,8,2,15,51,5,77,99
2024,8,2,15,51,9,77,99
2024,8,2,15,51,13,78,99
2024,8,2,15,51,17,82,99
2024,8,2,15,51,21,83,99
2024,8,2,15,51,25,82,99
2024,8,2,15,51,29,80,99
2024,8,2,15,51,33,79,99
2024,8,2,15,51,37,78,99
2024,8,2,15,51,41,78,99
2024,8,2,15,51,45,79,99
2024,8,2,15,51,49,80,99
2024,8,2,15,51,53,85,99
2024,8,2,15,51,57,87,99
2024,8,2,15,52,1,91,99
2024,8,2,15,52,5,92,99
2024,8,2,15,52,9,90,99
2024,8,2,15,52,13,91,99
2024,8,2,15,52,17,88,98
2024,8,2,15,52,21,85,98
2024,8,2,15,52,25,79,98
2024,8,2,15,52,29,83,98
2024,8,2,15,52,33,88,99
2024,8,2,15,52,37,87,99
2024,8,2,15,52,41,90,99
2024,8,2,15,52,45,92,99
2024,8,2,15,52,49,92,98
2024,8,2,15,52,53,91,99
2024,8,2,15,52,57,90,99
2024,8,2,15,53,1,92,99
2024,8,2,15,53,5,90,99
2024,8,2,15,53,9,85,99
2024,8,2,15,53,13,84,99
2024,8,2,15,53,17,81,99
2024,8,2,15,53,21,79,99
2024,8,2,15,53,25,78,99
2024,8,2,15,53,29,78,99
2024,8,2,15,53,33,78,99
2024,8,2,15,53,37,78,99
2024,8,2,15,53,41,87,99
2024,8,2,15,53,45,83,99
2024,8,2,15,53,49,82,99
2024,8,2,15,53,53,84,99
2024,8,2,15,53,57,85,99
2024,8,2,15,54,1,87,99
2024,8,2,15,54,5,86,99
2024,8,2,15,54,9,85,99
2024,8,2,15,54,13,85,99
2024,8,2,15,54,17,83,99
2024,8,2,15,54,21,83,99
2024,8,2,15,54,25,84,99
2024,8,2,15,54,29,83,99
2024,8,2,15,54,33,84,98
2024,8,2,15,54,37,86,99
2024,8,2,15,54,41,86,98
2024,8,2,15,54,45,90,99
2024,8,2,15,54,49,92,99
2024,8,2,15,54,53,88,99
2024,8,2,15,54,57,87,99
2024,8,2,15,55,1,88,99
2024,8,2,15,55,5,88,99
2024,8,2,15,55,9,89,99
2024,8,2,15,55,13,90,99
2024,8,2,15,55,17,89,99
2024,8,2,15,55,21,88,99
2024,8,2,15,55,25,88,99
2024,8,2,15,55,29,87,99
2024,8,2,15,55,33,86,99
2024,8,2,15,55,37,89,99
2024,8,2,15,55,41,92,99
2024,8,2,15,55,45,92,99
2024,8,2,15,55,49,92,99
2024,8,2,15,55,53,96,99
2024,8,2,15,55,57,95,99
2024,8,2,15,56,1,94,99
2024,8,2,15,56,5,96,99
2024,8,2,15,56,9,95,99
2024,8,2,15,56,13,92,99
2024,8,2,15,56,17,88,99
2024,8,2,15,56,21,87,99
2024,8,2,15,56,25,91,99
2024,8,2,15,56,29,89,99
2024,8,2,15,56,33,85,99
2024,8,2,15,56,37,81,99
2024,8,2,15,56,41,80,99
2024,8,2,15,56,45,85,99
2024,8,2,15,56,49,85,99
2024,8,2,15,56,53,87,99
2024,8,2,15,56,57,86,99
2024,8,2,15,57,1,86,99
2024,8,2,15,57,5,85,99
2024,8,2,15,57,9,86,99
2024,8,2,15,57,13,86,99
2024,8,2,15,57,17,87,99
2024,8,2,15,57,21,91,99
2024,8,2,15,57,25,93,99
2024,8,2,15,57,29,95,99
2024,8,2,15,57,33,95,99
2024,8,2,15,57,37,90,99
2024,8,2,15,57,41,89,99
2024,8,2,15,57,45,89,98
2024,8,2,15,57,49,85,98
2024,8,2,15,57,53,85,99
2024,8,2,15,57,57,86,99
2024,8,2,15,58,1,86,99
2024,8,2,15,58,5,91,99
2024,8,2,15,58,9,88,99
2024,8,2,15,58,13,85,99
2024,8,2,15,58,17,83,99
2024,8,2,15,58,21,88,99
2024,8,2,15,58,25,85,99
2024,8,2,15,58,29,84,99
2024,8,2,15,58,33,83,99
2024,8,2,15,58,37,82,99
2024,8,2,15,58,41,82,99
2024,8,2,15,58,45,85,99
2024,8,2,15,58,49,85,99
2024,8,2,15,58,53,89,99
2024,8,2,15,58,57,92,99
2024,8,2,15,59,1,91,99
2024,8,2,15,59,5,92,99
2024,8,2,15,59,9,90,99
2024,8,2,15,59,13,88,99
2024,8,2,15,59,17,86,99
2024,8,2,15,59,21,85,98
2024,8,2,15,59,25,84,98
2024,8,2,15,59,29,83,99
2024,8,2,15,59,33,85,99
2024,8,2,15,59,37,87,99
2024,8,2,15,59,41,89,99
2024,8,2,15,59,45,87,99
2024,8,2,15,59,49,80,99
2024,8,2,15,59,53,77,99
2024,8,2,15,59,57,77,99
2024,8,2,16,0,1,78,99
2024,8,2,16,0,5,77,99
2024,8,2,16,0,9,79,99
2024,8,2,16,0,13,81,99
2024,8,2,16,0,17,80,99
2024,8,2,16,0,21,83,99
2024,8,2,16,0,25,82,99
2024,8,2,16,0,29,84,99
2024,8,2,16,0,33,85,99
2024,8,2,16,0,37,82,99
2024,8,2,16,0,41,85,99
2024,8,2,16,0,45,87,99
2024,8,2,16,0,49,88,99
2024,8,2,16,0,53,90,99
2024,8,2,16,0,57,87,99
2024,8,2,16,1,1,83,99
2024,8,2,16,1,5,79,99
2024,8,2,16,1,9,78,99
2024,8,2,16,1,13,78,99
2024,8,2,16,1,17,79,99
2024,8,2,16,1,21,84,99
2024,8,2,16,1,25,89,99
2024,8,2,16,1,29,88,99
2024,8,2,16,1,33,87,99
2024,8,2,16,1,37,86,99
2024,8,2,16,1,41,83,99
2024,8,2,16,1,45,83,99
2024,8,2,16,1,49,82,99
2024,8,2,16,1,53,82,99
2024,8,2,16,1,57,84,99
2024,8,2,16,2,1,83,99
2024,8,2,16,2,5,85,99
2024,8,2,16,2,9,85,99
2024,8,2,16,2,13,86,99
2024,8,2,16,2,17,88,99
2024,8,2,16,2,21,86,99
2024,8,2,16,2,25,83,99
2024,8,2,16,2,29,85,99
2024,8,2,16,2,33,85,99
2024,8,2,16,2,37,88,99
2024,8,2,16,2,41,90,99
2024,8,2,16,2,45,90,99
2024,8,2,16,2,49,90,99
2024,8,2,16,2,53,90,99
2024,8,2,16,2,57,90,99
2024,8,2,16,3,1,90,99
2024,8,2,16,3,5,88,99
2024,8,2,16,3,9,86,99
2024,8,2,16,3,13,85,99
2024,8,2,16,3,17,86,99
2024,8,2,16,3,21,89,99
2024,8,2,16,3,25,92,99
2024,8,2,16,3,29,91,99
2024,8,2,16,3,33,87,99
2024,8,2,16,3,37,88,99
2024,8,2,16,3,41,91,99
2024,8,2,16,3,45,90,99
2024,8,2,16,3,49,90,99
2024,8,2,16,3,53,89,99
2024,8,2,16,3,57,91,99
2024,8,2,16,4,1,89,99
2024,8,2,16,4,5,89,99
2024,8,2,16,4,9,88,99
2024,8,2,16,4,13,88,99
2024,8,2,16,4,17,89,99
2024,8,2,16,4,21,91,99
2024,8,2,16,4,25,91,99
2024,8,2,16,4,29,91,99
2024,8,2,16,4,33,90,99
2024,8,2,16,4,37,85,99
2024,8,2,16,4,41,85,99
2024,8,2,16,4,45,90,99
2024,8,2,16,4,49,89,99
2024,8,2,16,4,53,88,99
2024,8,2,16,4,57,88,99
2024,8,2,16,5,1,83,99
2024,8,2,16,5,5,81,99
2024,8,2,16,5,9,80,99
2024,8,2,16,5,13,79,99
2024,8,2,16,5,17,79,99
2024,8,2,16,5,21,79,99
2024,8,2,16,5,25,79,99
2024,8,2,16,5,29,500,500
2024,8,2,16,5,33,81,98
2024,8,2,16,5,37,82,98
2024,8,2,16,5,41,81,99
2024,8,2,16,5,45,82,99
2024,8,2,16,5,49,80,99
2024,8,2,16,5,53,84,99
2024,8,2,16,5,57,87,99
2024,8,2,16,6,1,87,99
2024,8,2,16,6,5,86,99
2024,8,2,16,6,9,88,99
2024,8,2,16,6,13,86,98
2024,8,2,16,6,17,84,98
2024,8,2,16,6,21,82,98
2024,8,2,16,6,25,79,99
2024,8,2,16,6,29,79,99
2024,8,2,16,6,33,77,99
2024,8,2,16,6,37,77,99
2024,8,2,16,6,41,80,99
2024,8,2,16,6,45,83,99
2024,8,2,16,6,49,82,99
2024,8,2,16,6,53,80,99
2024,8,2,16,6,57,79,99
2024,8,2,16,7,1,79,99
2024,8,2,16,7,5,78,99
2024,8,2,16,7,9,79,99
2024,8,2,16,7,13,78,99
2024,8,2,16,7,17,80,99
2024,8,2,16,7,21,76,99
2024,8,2,16,7,25,76,99
2024,8,2,16,7,29,81,99
2024,8,2,16,7,33,81,99
2024,8,2,16,7,37,87,99
2024,8,2,16,7,41,84,99
2024,8,2,16,7,45,79,99
2024,8,2,16,7,49,77,99
2024,8,2,16,7,53,77,99
2024,8,2,16,7,57,78,99
2024,8,2,16,8,1,82,99
2024,8,2,16,8,5,83,99
2024,8,2,16,8,9,80,99
2024,8,2,16,8,13,81,99
2024,8,2,16,8,17,80,99
2024,8,2,16,8,21,78,99
2024,8,2,16,8,25,76,99
2024,8,2,16,8,29,77,99
2024,8,2,16,8,33,77,99
2024,8,2,16,8,37,78,99
2024,8,2,16,8,41,79,99
2024,8,2,16,8,45,81,99
