year,month,day,hour,minute,second,pulse,spo2
2024,9,23,20,58,50,500,500
2024,9,23,20,58,54,500,500
2024,9,23,20,58,58,500,500
2024,9,23,20,59,2,500,500
2024,9,23,20,59,6,500,500
2024,9,23,20,59,10,500,500
2024,9,23,20,59,14,500,500
2024,9,23,20,59,18,500,500
2024,9,23,20,59,22,500,500
2024,9,23,20,59,26,500,500
2024,9,23,20,59,30,500,500
2024,9,23,20,59,34,500,500
2024,9,23,20,59,38,500,500
2024,9,23,20,59,42,500,77
2024,9,23,20,59,46,500,77
2024,9,23,20,59,50,500,500
2024,9,23,20,59,54,500,500
2024,9,23,20,59,58,500,500
2024,9,23,21,0,2,500,500
2024,9,23,21,0,6,500,500
2024,9,23,21,0,10,500,500
2024,9,23,21,0,14,500,500
2024,9,23,21,0,18,500,500
2024,9,23,21,0,22,500,500
2024,9,23,21,0,26,500,500
2024,9,23,21,0,30,46,97
2024,9,23,21,0,34,90,97
2024,9,23,21,0,38,91,97
2024,9,23,21,0,42,87,97
2024,9,23,21,0,46,89,97
2024,9,23,21,0,50,91,97
2024,9,23,21,0,54,91,97
2024,9,23,21,0,58,94,97
2024,9,23,21,1,2,92,97
2024,9,23,21,1,6,95,97
2024,9,23,21,1,10,95,97
2024,9,23,21,1,14,92,97
2024,9,23,21,1,18,92,97
2024,9,23,21,1,22,94,97
2024,9,23,21,1,26,95,97
2024,9,23,21,1,30,92,98
2024,9,23,21,1,34,98,98
2024,9,23,21,1,38,100,98
2024,9,23,21,1,42,96,98
2024,9,23,21,1,46,94,97
2024,9,23,21,1,50,94,97
2024,9,23,21,1,54,93,97
2024,9,23,21,1,58,93,97
2024,9,23,21,2,2,91,97
2024,9,23,21,2,6,90,97
2024,9,23,21,2,10,90,97
2024,9,23,21,2,14,89,97
2024,9,23,21,2,18,93,97
2024,9,23,21,2,22,98,97
2024,9,23,21,2,26,99,97
2024,9,23,21,2,30,99,97
2024,9,23,21,2,34,96,97
2024,9,23,21,2,38,99,97
2024,9,23,21,2,42,100,97
2024,9,23,21,2,46,92,97
2024,9,23,21,2,50,88,97
2024,9,23,21,2,54,85,97
2024,9,23,21,2,58,87,97
2024,9,23,21,3,2,87,97
2024,9,23,21,3,6,90,97
2024,9,23,21,3,10,89,97
2024,9,23,21,3,14,89,97
2024,9,23,21,3,18,91,98
2024,9,23,21,3,22,91,99
2024,9,23,21,3,26,93,98
2024,9,23,21,3,30,91,98
2024,9,23,21,3,34,91,98
2024,9,23,21,3,38,90,98
2024,9,23,21,3,42,88,98
2024,9,23,21,3,46,85,97
2024,9,23,21,3,50,84,97
2024,9,23,21,3,54,82,97
2024,9,23,21,3,58,83,97
2024,9,23,21,4,2,83,98
2024,9,23,21,4,6,82,97
2024,9,23,21,4,10,83,98
2024,9,23,21,4,14,82,98
2024,9,23,21,4,18,87,97
2024,9,23,21,4,22,88,97
2024,9,23,21,4,26,90,97
2024,9,23,21,4,30,90,96
2024,9,23,21,4,34,91,97
2024,9,23,21,4,38,91,97
2024,9,23,21,4,42,88,97
2024,9,23,21,4,46,85,98
2024,9,23,21,4,50,85,98
2024,9,23,21,4,54,85,97
2024,9,23,21,4,58,85,97
2024,9,23,21,5,2,86,97
2024,9,23,21,5,6,86,97
2024,9,23,21,5,10,86,97
2024,9,23,21,5,14,86,98
2024,9,23,21,5,18,87,98
2024,9,23,21,5,22,88,98
2024,9,23,21,5,26,87,98
2024,9,23,21,5,30,90,98
2024,9,23,21,5,34,91,98
2024,9,23,21,5,38,90,98
2024,9,23,21,5,42,94,98
2024,9,23,21,5,46,95,98
2024,9,23,21,5,50,87,98
2024,9,23,21,5,54,87,98
2024,9,23,21,5,58,87,98
2024,9,23,21,6,2,87,98
2024,9,23,21,6,6,85,98
2024,9,23,21,6,10,83,98
2024,9,23,21,6,14,83,98
2024,9,23,21,6,18,83,98
2024,9,23,21,6,22,83,98
2024,9,23,21,6,26,84,98
2024,9,23,21,6,30,84,98
2024,9,23,21,6,34,84,98
2024,9,23,21,6,38,84,97
2024,9,23,21,6,42,85,98
2024,9,23,21,6,46,88,98
2024,9,23,21,6,50,88,98
2024,9,23,21,6,54,88,98
2024,9,23,21,6,58,89,98
2024,9,23,21,7,2,92,98
2024,9,23,21,7,6,97,98
2024,9,23,21,7,10,97,98
2024,9,23,21,7,14,97,98
2024,9,23,21,7,18,96,97
2024,9,23,21,7,22,95,97
