year,month,day,hour,minute,second,pulse,spo2
2024,9,6,15,36,42,500,500
2024,9,6,15,36,46,500,500
2024,9,6,15,36,50,500,500
2024,9,6,15,36,54,500,500
2024,9,6,15,36,58,500,500
2024,9,6,15,37,2,500,500
2024,9,6,15,37,6,500,500
2024,9,6,15,37,10,500,500
2024,9,6,15,37,14,500,500
2024,9,6,15,37,18,500,500
2024,9,6,15,37,22,500,500
2024,9,6,15,37,26,500,500
2024,9,6,15,37,30,500,500
2024,9,6,15,37,34,500,500
2024,9,6,15,37,38,500,500
2024,9,6,15,37,42,500,500
2024,9,6,15,37,46,500,500
2024,9,6,15,37,50,500,500
2024,9,6,15,37,54,500,500
2024,9,6,15,37,58,500,500
2024,9,6,15,38,2,500,500
2024,9,6,15,38,6,500,500
2024,9,6,15,38,10,500,500
2024,9,6,15,38,14,500,500
2024,9,6,15,38,18,500,500
2024,9,6,15,38,22,500,500
2024,9,6,15,38,26,500,500
2024,9,6,15,38,30,500,500
2024,9,6,15,38,34,500,500
2024,9,6,15,38,38,500,500
2024,9,6,15,38,42,500,500
2024,9,6,15,38,46,500,500
2024,9,6,15,38,50,500,500
2024,9,6,15,38,54,500,500
2024,9,6,15,38,58,500,500
2024,9,6,15,39,2,500,500
2024,9,6,15,39,6,500,500
2024,9,6,15,39,10,500,500
2024,9,6,15,39,14,500,500
2024,9,6,15,39,18,500,500
2024,9,6,15,39,22,500,500
2024,9,6,15,39,26,500,500
2024,9,6,15,39,30,500,500
2024,9,6,15,39,34,500,500
2024,9,6,15,39,38,500,500
2024,9,6,15,39,42,500,500
2024,9,6,15,39,46,53,80
2024,9,6,15,39,50,118,98
2024,9,6,15,39,54,120,98
2024,9,6,15,39,58,120,97
2024,9,6,15,40,2,122,97
2024,9,6,15,40,6,122,97
2024,9,6,15,40,10,122,97
2024,9,6,15,40,14,122,97
2024,9,6,15,40,18,500,500
2024,9,6,15,40,22,500,500
2024,9,6,15,40,26,122,97
2024,9,6,15,40,30,119,97
2024,9,6,15,40,34,107,98
2024,9,6,15,40,38,106,96
2024,9,6,15,40,42,112,96
2024,9,6,15,40,46,112,96
2024,9,6,15,40,50,112,96
2024,9,6,15,40,54,117,98
2024,9,6,15,40,58,119,98
2024,9,6,15,41,2,123,98
2024,9,6,15,41,6,123,98
2024,9,6,15,41,10,120,98
2024,9,6,15,41,14,117,98
2024,9,6,15,41,18,117,98
2024,9,6,15,41,22,117,95
2024,9,6,15,41,26,120,95
2024,9,6,15,41,30,118,97
2024,9,6,15,41,34,119,96
2024,9,6,15,41,38,113,95
2024,9,6,15,41,42,110,96
2024,9,6,15,41,46,109,96
2024,9,6,15,41,50,114,96
2024,9,6,15,41,54,118,96
2024,9,6,15,41,58,118,95
2024,9,6,15,42,2,121,95
2024,9,6,15,42,6,121,93
2024,9,6,15,42,10,121,93
2024,9,6,15,42,14,120,95
2024,9,6,15,42,18,121,95
2024,9,6,15,42,22,111,96
2024,9,6,15,42,26,108,97
2024,9,6,15,42,30,110,95
2024,9,6,15,42,34,98,95
2024,9,6,15,42,38,102,97
2024,9,6,15,42,42,93,95
2024,9,6,15,42,46,96,95
2024,9,6,15,42,50,97,94
2024,9,6,15,42,54,87,95
2024,9,6,15,42,58,93,95
2024,9,6,15,43,2,93,93
2024,9,6,15,43,6,107,92
2024,9,6,15,43,10,103,95
2024,9,6,15,43,14,103,96
2024,9,6,15,43,18,106,97
2024,9,6,15,43,22,103,97
2024,9,6,15,43,26,103,95
2024,9,6,15,43,30,108,93
2024,9,6,15,43,34,108,93
2024,9,6,15,43,38,108,96
2024,9,6,15,43,42,111,96
2024,9,6,15,43,46,111,96
2024,9,6,15,43,50,111,97
2024,9,6,15,43,54,115,97
2024,9,6,15,43,58,116,97
2024,9,6,15,44,2,107,97
2024,9,6,15,44,6,112,96
2024,9,6,15,44,10,114,96
2024,9,6,15,44,14,103,98
2024,9,6,15,44,18,102,98
2024,9,6,15,44,22,101,97
2024,9,6,15,44,26,107,95
2024,9,6,15,44,30,104,97
2024,9,6,15,44,34,95,96
2024,9,6,15,44,38,100,95
2024,9,6,15,44,42,100,94
2024,9,6,15,44,46,111,94
2024,9,6,15,44,50,112,94
2024,9,6,15,44,54,99,96
2024,9,6,15,44,58,99,91
2024,9,6,15,45,2,101,90
2024,9,6,15,45,6,93,96
2024,9,6,15,45,10,94,95
2024,9,6,15,45,14,91,95
2024,9,6,15,45,18,95,94
2024,9,6,15,45,22,89,95
2024,9,6,15,45,26,91,96
2024,9,6,15,45,30,90,94
2024,9,6,15,45,34,89,94
2024,9,6,15,45,38,88,94
2024,9,6,15,45,42,89,96
2024,9,6,15,45,46,87,95
2024,9,6,15,45,50,84,95
2024,9,6,15,45,54,92,94
2024,9,6,15,45,58,90,93
2024,9,6,15,46,2,88,95
2024,9,6,15,46,6,87,95
2024,9,6,15,46,10,84,94
2024,9,6,15,46,14,88,95
2024,9,6,15,46,18,83,95
2024,9,6,15,46,22,82,95
2024,9,6,15,46,26,85,95
2024,9,6,15,46,30,83,95
2024,9,6,15,46,34,92,95
2024,9,6,15,46,38,89,95
2024,9,6,15,46,42,89,95
2024,9,6,15,46,46,101,94
2024,9,6,15,46,50,108,94
2024,9,6,15,46,54,94,96
2024,9,6,15,46,58,90,98
2024,9,6,15,47,2,102,98
2024,9,6,15,47,6,88,98
2024,9,6,15,47,10,86,98
2024,9,6,15,47,14,85,96
2024,9,6,15,47,18,87,95
2024,9,6,15,47,22,86,97
2024,9,6,15,47,26,91,98
2024,9,6,15,47,30,86,97
2024,9,6,15,47,34,87,96
2024,9,6,15,47,38,81,95
2024,9,6,15,47,42,78,95
2024,9,6,15,47,46,78,94
2024,9,6,15,47,50,92,94
2024,9,6,15,47,54,89,93
2024,9,6,15,47,58,89,94
2024,9,6,15,48,2,87,94
2024,9,6,15,48,6,106,97
2024,9,6,15,48,10,107,99
2024,9,6,15,48,14,103,99
2024,9,6,15,48,18,97,98
2024,9,6,15,48,22,95,96
2024,9,6,15,48,26,98,98
2024,9,6,15,48,30,98,97
2024,9,6,15,48,34,92,97
2024,9,6,15,48,38,86,98
2024,9,6,15,48,42,94,97
2024,9,6,15,48,46,88,96
2024,9,6,15,48,50,88,97
2024,9,6,15,48,54,85,94
2024,9,6,15,48,58,84,94
2024,9,6,15,49,2,90,94
2024,9,6,15,49,6,88,95
2024,9,6,15,49,10,85,96
2024,9,6,15,49,14,91,96
