year,month,day,hour,minute,second,pulse,spo2
2024,9,3,16,11,3,500,500
2024,9,3,16,11,7,500,500
2024,9,3,16,11,11,500,500
2024,9,3,16,11,15,500,500
2024,9,3,16,11,19,108,97
2024,9,3,16,11,23,109,97
2024,9,3,16,11,27,104,96
2024,9,3,16,11,31,104,96
2024,9,3,16,11,35,106,97
2024,9,3,16,11,39,106,97
2024,9,3,16,11,43,108,98
2024,9,3,16,11,47,108,98
2024,9,3,16,11,51,109,96
2024,9,3,16,11,55,107,96
2024,9,3,16,11,59,107,97
2024,9,3,16,12,3,109,96
2024,9,3,16,12,7,109,96
2024,9,3,16,12,11,109,96
2024,9,3,16,12,15,109,96
2024,9,3,16,12,19,106,97
2024,9,3,16,12,23,108,97
2024,9,3,16,12,27,108,98
2024,9,3,16,12,31,105,98
2024,9,3,16,12,35,102,98
2024,9,3,16,12,39,101,98
2024,9,3,16,12,43,100,98
2024,9,3,16,12,47,100,98
2024,9,3,16,12,51,107,98
2024,9,3,16,12,55,102,98
2024,9,3,16,12,59,96,99
2024,9,3,16,13,3,96,99
2024,9,3,16,13,7,96,100
2024,9,3,16,13,11,102,99
2024,9,3,16,13,15,102,99
2024,9,3,16,13,19,95,99
2024,9,3,16,13,23,94,99
2024,9,3,16,13,27,96,99
2024,9,3,16,13,31,98,99
2024,9,3,16,13,35,96,99
2024,9,3,16,13,39,96,99
2024,9,3,16,13,43,103,99
2024,9,3,16,13,47,105,99
2024,9,3,16,13,51,104,98
2024,9,3,16,13,55,104,98
2024,9,3,16,13,59,105,98
2024,9,3,16,14,3,104,99
2024,9,3,16,14,7,102,99
2024,9,3,16,14,11,103,99
2024,9,3,16,14,15,103,99
2024,9,3,16,14,19,104,99
2024,9,3,16,14,23,106,100
2024,9,3,16,14,27,103,100
2024,9,3,16,14,31,103,99
2024,9,3,16,14,35,103,99
2024,9,3,16,14,39,103,100
2024,9,3,16,14,43,103,100
2024,9,3,16,14,47,105,99
2024,9,3,16,14,51,103,99
2024,9,3,16,14,55,98,99
2024,9,3,16,14,59,103,99
2024,9,3,16,15,3,105,99
2024,9,3,16,15,7,96,99
2024,9,3,16,15,11,95,99
2024,9,3,16,15,15,98,99
2024,9,3,16,15,19,102,99
2024,9,3,16,15,23,97,99
2024,9,3,16,15,27,95,99
2024,9,3,16,15,31,101,99
2024,9,3,16,15,35,102,99
2024,9,3,16,15,39,102,99
2024,9,3,16,15,43,102,99
2024,9,3,16,15,47,107,98
2024,9,3,16,15,51,111,99
2024,9,3,16,15,55,111,98
2024,9,3,16,15,59,110,98
2024,9,3,16,16,3,110,99
2024,9,3,16,16,7,110,99
2024,9,3,16,16,11,110,99
2024,9,3,16,16,15,110,99
2024,9,3,16,16,19,109,99
2024,9,3,16,16,23,106,99
2024,9,3,16,16,27,108,99
2024,9,3,16,16,31,109,99
2024,9,3,16,16,35,109,99
2024,9,3,16,16,39,109,99
2024,9,3,16,16,43,108,99
2024,9,3,16,16,47,107,99
2024,9,3,16,16,51,111,99
2024,9,3,16,16,55,108,99
2024,9,3,16,16,59,105,99
2024,9,3,16,17,3,106,99
2024,9,3,16,17,7,99,99
2024,9,3,16,17,11,103,99
2024,9,3,16,17,15,102,99
2024,9,3,16,17,19,102,99
2024,9,3,16,17,23,102,99
2024,9,3,16,17,27,107,99
2024,9,3,16,17,31,92,99
2024,9,3,16,17,35,94,99
2024,9,3,16,17,39,92,99
2024,9,3,16,17,43,100,99
2024,9,3,16,17,47,97,99
2024,9,3,16,17,51,94,99
2024,9,3,16,17,55,99,99
2024,9,3,16,17,59,94,99
2024,9,3,16,18,3,95,99
2024,9,3,16,18,7,91,99
2024,9,3,16,18,11,99,99
2024,9,3,16,18,15,95,98
2024,9,3,16,18,19,95,98
2024,9,3,16,18,23,97,99
2024,9,3,16,18,27,97,99
2024,9,3,16,18,31,97,99
2024,9,3,16,18,35,99,99
2024,9,3,16,18,39,100,99
2024,9,3,16,18,43,99,99
2024,9,3,16,18,47,94,99
2024,9,3,16,18,51,95,99
2024,9,3,16,18,55,93,99
2024,9,3,16,18,59,101,99
2024,9,3,16,19,3,104,99
2024,9,3,16,19,7,98,99
2024,9,3,16,19,11,98,99
2024,9,3,16,19,15,96,99
2024,9,3,16,19,19,98,99
2024,9,3,16,19,23,103,99
2024,9,3,16,19,27,101,99
2024,9,3,16,19,31,101,99
2024,9,3,16,19,35,100,99
2024,9,3,16,19,39,104,99
2024,9,3,16,19,43,100,99
2024,9,3,16,19,47,99,99
2024,9,3,16,19,51,98,99
2024,9,3,16,19,55,99,99
2024,9,3,16,19,59,104,99
2024,9,3,16,20,3,99,100
2024,9,3,16,20,7,98,99
2024,9,3,16,20,11,97,99
2024,9,3,16,20,15,102,100
2024,9,3,16,20,19,97,100
2024,9,3,16,20,23,94,100
2024,9,3,16,20,27,99,100
2024,9,3,16,20,31,104,99
2024,9,3,16,20,35,102,99
2024,9,3,16,20,39,101,100
2024,9,3,16,20,43,104,100
2024,9,3,16,20,47,99,100
